steps,avg_reward,collision_rate,episode_length
100,7.413333333333334,0.0,40.0
200,7.413333333333334,0.0,40.0
300,7.413333333333334,0.0,40.0
400,7.413333333333334,0.0,40.0
500,7.413333333333334,0.0,40.0
600,15.794516715510744,0.0,40.0
700,9.534247853271218,1.0,39.0
800,3.4819879553306428,1.0,22.0
900,9.25790660269381,0.0,40.0
1000,1.6133333333333333,0.0,40.0
1100,0.0,0.0,40.0
1200,0.0,0.0,40.0
1300,0.8737124377732993,0.0,40.0
1400,3.5852855976697273,1.0,5.0
1500,0.8726674971175683,0.0,40.0
1600,1.6750036176813128,0.0,40.0
1700,0.0,0.0,40.0
1800,0.0,0.0,40.0
1900,0.0,0.0,40.0
2000,0.0,0.0,40.0
2100,0.0,0.0,40.0
2200,3.4922461614814373,1.0,19.0
2300,0.8000000000000002,0.0,40.0
2400,3.579871791855679,1.0,13.0
2500,2.4390277475687148,0.0,40.0
2600,4.314546935619931,1.0,14.0
2700,7.735286558919871,1.0,15.0
2800,4.180234367953528,0.0,40.0
2900,3.2947461923744576,0.0,40.0
3000,6.52,0.0,40.0
3100,4.1298712215818965,0.0,40.0
3200,8.473296993052864,0.0,40.0
3300,12.08302346828386,0.0,40.0
3400,4.962728444293095,0.0,40.0
3500,9.336203608344558,0.0,40.0
3600,5.851889119275576,0.0,40.0
3700,6.756847876227144,0.0,40.0
3800,5.93459570437719,0.0,40.0
3900,12.398533423518174,0.0,40.0
4000,9.785828950102756,0.0,40.0
4100,5.653333333333333,0.0,40.0
4200,9.783326552445489,0.0,40.0
4300,8.243881275162352,0.0,40.0
4400,8.960620968040708,0.0,40.0
4500,8.173333333333334,0.0,40.0
4600,9.11458769498089,0.0,40.0
4700,10.639999999999999,0.0,40.0
4800,9.026666666666667,0.0,40.0
4900,14.611001631000784,0.0,40.0
5000,7.451046688886218,0.0,40.0
5100,8.307739390348251,0.0,40.0
5200,17.111366750302352,0.0,40.0
5300,12.169330449551756,0.0,40.0
5400,12.213019053755621,0.0,40.0
5500,9.849524098626203,0.0,40.0
5600,9.106666666666667,0.0,40.0
5700,9.888488129768891,0.0,40.0
5800,8.259494049213869,0.0,40.0
5900,9.951915351993454,0.0,40.0
6000,9.72,0.0,40.0
6100,5.666666666666667,0.0,40.0
6200,10.656774362276028,0.0,40.0
6300,6.546666666666667,0.0,40.0
6400,10.636377584607859,0.0,40.0
6500,9.942089968047753,0.0,40.0
6600,6.493333333333335,0.0,40.0
6700,10.639999999999999,0.0,40.0
6800,13.066666666666668,0.0,40.0
6900,21.79812431644439,0.0,40.0
7000,12.266666666666664,0.0,40.0
7100,9.026666666666666,0.0,40.0
7200,10.644439171793241,0.0,40.0
7300,13.026666666666666,0.0,40.0
7400,17.159999999999997,0.0,40.0
7500,6.573333333333333,0.0,40.0
7600,23.8,0.0,40.0
7700,14.666666666666664,0.0,40.0
7800,16.280000000000005,0.0,40.0
7900,15.586666666666664,0.0,40.0
8000,11.520000000000001,0.0,40.0
8100,21.253333333333337,0.0,40.0
8200,13.08,0.0,40.0
8300,17.986666666666665,0.0,40.0
8400,16.439999999999998,0.0,40.0
8500,27.186666666666664,0.0,40.0
8600,21.37333333333333,0.0,40.0
8700,25.416616380909954,0.0,40.0
8800,11.479999999999999,0.0,40.0
8900,21.226666666666667,0.0,40.0
9000,21.764646699983675,0.0,40.0
9100,21.33333333333334,0.0,40.0
9200,11.56,0.0,40.0
9300,11.693333333333333,0.0,40.0
9400,15.81333333333333,0.0,40.0
9500,14.04,0.0,40.0
9600,12.306666666666665,0.0,40.0
9700,23.973333333333333,0.0,40.0
9800,32.34666666666668,0.0,40.0
9900,18.906666666666663,0.0,40.0
10000,10.693333333333333,0.0,40.0
10100,17.88,0.0,40.0
10200,18.13333333333333,0.0,40.0
10300,16.52184105010439,0.0,40.0
10400,11.533333333333333,0.0,40.0
10500,14.759999999999996,0.0,40.0
10600,30.080000000000013,0.0,40.0
10700,22.786666666666665,0.0,40.0
10800,22.339967770560857,0.0,40.0
10900,16.37333333333333,0.0,40.0
11000,27.079999999999995,0.0,40.0
11100,24.535541105824972,0.0,40.0
11200,18.68,0.0,40.0
11300,18.666666666666668,0.0,40.0
11400,18.78666666666666,0.0,40.0
11500,13.88,0.0,40.0
11600,13.993929962519678,0.0,40.0
11700,28.816336224118686,0.0,40.0
11800,20.39279965363985,0.0,40.0
11900,21.04795073778826,0.0,40.0
12000,26.240000000000006,0.0,40.0
12100,21.30666666666667,0.0,40.0
12200,15.733333333333333,0.0,40.0
12300,26.33279832935546,0.0,40.0
12400,22.05333333333333,0.0,40.0
12500,26.280000000000012,0.0,40.0
12600,16.426666666666662,0.0,40.0
12700,28.468206512261617,0.0,40.0
12800,30.091436270442312,0.0,40.0
12900,32.849281290359606,0.0,40.0
13000,22.053333333333338,0.0,40.0
13100,24.399999999999995,0.0,40.0
13200,26.906666666666677,0.0,40.0
13300,27.116194227526563,0.0,40.0
13400,29.761379710763624,0.0,40.0
13500,33.34836913287491,0.0,40.0
13600,32.93756904657236,0.0,40.0
13700,31.26978033056044,0.0,40.0
13800,29.030616381152715,0.0,40.0
13900,32.37956791722143,0.0,40.0
14000,33.228271273149446,0.0,40.0
14100,27.824179121738386,0.0,40.0
14200,33.06367880564538,0.0,40.0
14300,34.2565715395944,0.0,40.0
14400,27.289302208579524,0.0,40.0
14500,31.39394407750244,0.0,40.0
14600,33.59203108174457,0.0,40.0
14700,33.15519531736996,0.0,40.0
14800,33.0385096516525,0.0,40.0
14900,32.79502915295695,0.0,40.0
15000,33.39911889029739,0.0,40.0
15100,32.95068741053094,0.0,40.0
15200,32.82140119443323,0.0,40.0
15300,30.159999999999997,0.0,40.0
15400,32.69612027334249,0.0,40.0
15500,32.74740847727449,0.0,40.0
15600,33.12993681391746,0.0,40.0
15700,33.17199212416942,0.0,40.0
15800,32.84,0.0,40.0
15900,32.58401036583926,0.0,40.0
16000,33.1188769341508,0.0,40.0
16100,32.69759600435347,0.0,40.0
16200,32.93703967627117,0.0,40.0
16300,32.75111558602541,0.0,40.0
16400,32.7956305897409,0.0,40.0
16500,33.60421257632667,0.0,40.0
16600,33.399045124712465,0.0,40.0
16700,33.23042566076219,0.0,40.0
16800,33.459865270424935,0.0,40.0
16900,33.00821036107329,0.0,40.0
17000,32.83515557994313,0.0,40.0
17100,33.00689243148361,0.0,40.0
17200,32.669972097366,0.0,40.0
17300,32.97333333333336,0.0,40.0
17400,33.12297986185398,0.0,40.0
17500,32.93755383977782,0.0,40.0
17600,33.13375584255389,0.0,40.0
17700,33.02784865700734,0.0,40.0
17800,33.46367447367532,0.0,40.0
17900,32.80000000000002,0.0,40.0
18000,32.80093884845726,0.0,40.0
18100,32.557112679324796,0.0,40.0
18200,32.59051698588197,0.0,40.0
18300,32.693915584974775,0.0,40.0
18400,32.567709615484176,0.0,40.0
18500,32.77567262624663,0.0,40.0
18600,32.788231435845745,0.0,40.0
18700,33.00372942380622,0.0,40.0
18800,32.67099852804171,0.0,40.0
18900,33.07706258132417,0.0,40.0
19000,32.89787279807784,0.0,40.0
19100,32.6479323961394,0.0,40.0
19200,33.12901130654183,0.0,40.0
19300,32.670982124408695,0.0,40.0
19400,33.12071622830388,0.0,40.0
19500,32.577215613141675,0.0,40.0
19600,33.09881479434827,0.0,40.0
19700,33.12461369583005,0.0,40.0
19800,32.72748251106533,0.0,40.0
19900,32.7400901349628,0.0,40.0
20000,32.61093524180692,0.0,40.0
20100,32.820990459623985,0.0,40.0
20200,32.74639491523328,0.0,40.0
20300,32.586640564924764,0.0,40.0
20400,32.72969311317715,0.0,40.0
20500,33.345332873788465,0.0,40.0
20600,32.92482481507499,0.0,40.0
20700,33.02452353752938,0.0,40.0
20800,32.650747633777954,0.0,40.0
20900,32.68821077423848,0.0,40.0
21000,32.58794286751936,0.0,40.0
21100,33.06545501375526,0.0,40.0
21200,32.63814099223488,0.0,40.0
21300,32.58797125995193,0.0,40.0
21400,32.665868882879074,0.0,40.0
