steps,avg_reward,collision_rate,episode_length
18900,33.17210499447799,0.0,40.0
19000,33.14546244136143,0.0,40.0
19100,33.158771661144655,0.0,40.0
19200,32.06546603475515,0.0,40.0
19300,33.47858981236916,0.0,40.0
19400,32.21213270142181,0.0,40.0
19500,32.34546603475514,0.0,40.0
19600,33.53138949983164,0.0,40.0
19700,33.38490218056824,0.0,40.0
19800,32.985438327811316,0.0,40.0
19900,32.26546603475512,0.0,40.0
20000,32.90546244136147,0.0,40.0
20100,32.27879936808847,0.0,40.0
20200,32.59879935975859,0.0,40.0
20300,32.50546603365788,0.0,40.0
20400,33.25210499447799,0.0,40.0
20500,32.1721327014218,0.0,40.0
20600,32.51879888760768,0.0,40.0
20700,33.33210610075675,0.0,40.0
20800,33.038614599842134,0.0,40.0
20900,32.75879577469483,0.0,40.0
21000,32.4521326930919,0.0,40.0
21100,32.95858896848381,0.0,40.0
21200,33.53138949983164,0.0,40.0
21300,33.3321049945912,0.0,40.0
21400,33.07805569512087,0.0,40.0
21500,32.47877166114465,0.0,40.0
21600,32.69213263826209,0.0,40.0
21700,33.45210499554001,0.0,40.0
21800,32.4521326930919,0.0,40.0
21900,33.15858896848381,0.0,40.0
22000,32.89159642849881,0.0,40.0
22100,32.5454623861041,0.0,40.0
22200,32.492129108028124,0.0,40.0
22300,32.99877170708627,0.0,40.0
22400,32.79877323882255,0.0,40.0
22500,32.878771661144654,0.0,40.0
22600,32.47877166114465,0.0,40.0
22700,32.19879936808846,0.0,40.0
22800,33.49192235599122,0.0,40.0
22900,32.98525563515047,0.0,40.0
23000,33.318772766469436,0.0,40.0
23100,32.1321327014218,0.0,40.0
23200,33.53138949983164,0.0,40.0
23300,33.23858896848382,0.0,40.0
23400,33.45210499554001,0.0,40.0
23500,33.34543832887335,0.0,40.0
23600,33.34543832887335,0.0,40.0
23700,32.6654623861041,0.0,40.0
23800,33.34546555427453,0.0,40.0
23900,33.45210499554001,0.0,40.0
24000,32.91877323882255,0.0,40.0
24100,32.89210657215337,0.0,40.0
24200,32.305466033657886,0.0,40.0
24300,33.45210499554001,0.0,40.0
24400,33.45210499554001,0.0,40.0
24500,32.50543832781131,0.0,40.0
24600,33.17212905277078,0.0,40.0
24700,32.665438327811316,0.0,40.0
24800,32.93212909972931,0.0,40.0
24900,33.53138949983164,0.0,40.0
25000,32.93212909972931,0.0,40.0
25100,33.06528126650848,0.0,40.0
25200,33.23877166114465,0.0,40.0
25300,32.958771661144645,0.0,40.0
25400,32.49213222094101,0.0,40.0
25500,33.264722361787534,0.0,40.0
25600,32.345255635150465,0.0,40.0
25700,32.01213270142181,0.0,40.0
25800,32.01213270142181,0.0,40.0
25900,32.01213270142181,0.0,40.0
26000,32.43879571943743,0.0,40.0
26100,32.41213222094101,0.0,40.0
26200,32.82543832781131,0.0,40.0
26300,33.10546238610411,0.0,40.0
26400,32.31879888760767,0.0,40.0
26500,33.41210499554001,0.0,40.0
26600,32.87858896848381,0.0,40.0
26700,33.45210499554001,0.0,40.0
26800,33.45210499554001,0.0,40.0
26900,33.092104994477985,0.0,40.0
27000,32.87877166114465,0.0,40.0
27100,32.90543832781132,0.0,40.0
27200,33.10546238610411,0.0,40.0
