steps,avg_reward,collision_rate,episode_length
100,7.413333333333334,0.0,40.0
200,7.413333333333334,0.0,40.0
300,7.413333333333334,0.0,40.0
400,7.413333333333334,0.0,40.0
500,7.413333333333334,0.0,40.0
600,3.706666666666667,0.0,40.0
700,16.290333612479802,0.0,40.0
800,27.46839091050251,0.0,40.0
900,0.0,0.0,40.0
1000,20.174991539879812,0.0,40.0
1100,0.0,0.0,40.0
1200,5.143694957185753,0.0,40.0
1300,23.08135513007303,0.0,40.0
1400,27.94176414341959,0.0,40.0
1500,18.475614540405058,0.0,40.0
1600,20.52473449166145,0.0,40.0
1700,20.466666666666665,0.0,40.0
1800,0.0,0.0,40.0
1900,0.0,0.0,40.0
2000,0.0,0.0,40.0
2100,27.959006882339924,0.0,40.0
2200,10.557479769495094,0.0,40.0
2300,15.490408744367935,0.0,40.0
2400,20.11424873424968,0.0,40.0
2500,18.98729840140216,0.0,40.0
2600,22.495466272059996,0.0,40.0
2700,0.0,0.0,40.0
2800,0.0,0.0,40.0
2900,26.616565905214504,0.0,40.0
3000,13.848133857945179,0.0,40.0
3100,30.536799555115724,0.0,40.0
3200,25.081075798647188,0.0,40.0
3300,33.21763695931827,0.0,40.0
3400,20.86373639039308,0.0,40.0
3500,17.17383666571128,0.0,40.0
3600,25.901115122980894,0.0,40.0
3700,32.28517042155886,0.0,40.0
3800,33.04433674525155,0.0,40.0
3900,1.6800000000000004,0.0,40.0
4000,26.573047151208723,0.0,40.0
4100,29.10450881328296,0.0,40.0
4200,30.28928233792387,0.0,40.0
4300,0.0,0.0,40.0
4400,32.87594433535895,0.0,40.0
4500,0.8400000000000002,0.0,40.0
4600,0.0,0.0,40.0
4700,27.312285603932427,0.0,40.0
4800,0.0,0.0,40.0
4900,0.0,0.0,40.0
5000,33.09279786339171,0.0,40.0
5100,17.136955302164477,0.0,40.0
5200,6.2,0.0,40.0
5300,30.888671022146756,0.0,40.0
5400,33.11332845644457,0.0,40.0
5500,29.40339144840935,0.0,40.0
5600,16.786527512406394,0.0,40.0
5700,29.147252082685725,0.0,40.0
5800,0.0,0.0,40.0
5900,33.46641460186402,0.0,40.0
6000,0.0,0.0,40.0
6100,10.54265902445175,0.0,40.0
6200,24.62970469165583,0.0,40.0
6300,30.080456259453047,0.0,40.0
6400,17.04,0.0,40.0
6500,29.017579877623046,0.0,40.0
6600,23.483979808501374,0.0,40.0
6700,18.328623956159518,0.0,40.0
6800,7.980735642957613,0.0,40.0
6900,19.875968600031026,0.0,40.0
7000,13.729934519095897,0.0,40.0
7100,21.709902124556617,0.0,40.0
7200,24.773611416578678,0.0,40.0
7300,12.04,0.0,40.0
7400,17.331787977621598,0.0,40.0
7500,11.33227233271865,0.0,40.0
7600,29.2710165526026,0.0,40.0
7700,30.071928478488456,0.0,40.0
7800,30.58347236452234,0.0,40.0
7900,23.92262826016569,0.0,40.0
8000,31.11631505482089,0.0,40.0
8100,31.576296952105242,0.0,40.0
8200,31.144310010862664,0.0,40.0
8300,30.642300335294575,0.0,40.0
8400,30.073986974311158,0.0,40.0
8500,25.00668640375771,0.0,40.0
8600,23.336812042977854,0.0,40.0
8700,32.28216188129579,0.0,40.0
8800,30.210487947959336,0.0,40.0
8900,21.985126068361556,0.0,40.0
9000,30.920335983174056,0.0,40.0
9100,30.106048300042506,0.0,40.0
9200,29.093415726879055,0.0,40.0
9300,32.30656666386292,0.0,40.0
9400,31.613135934173968,0.0,40.0
9500,3.3600000000000008,0.0,40.0
9600,12.177976848386754,0.0,40.0
9700,26.65389829216687,0.0,40.0
9800,26.994502294789115,0.0,40.0
9900,30.12920963444749,0.0,40.0
10000,18.451661590812286,0.0,40.0
10100,29.614926629301678,0.0,40.0
10200,22.592738604105577,0.0,40.0
10300,0.0,0.0,40.0
10400,29.251831711849913,0.0,40.0
10500,33.45921616673273,0.0,40.0
10600,32.78723468940624,0.0,40.0
10700,30.78652107973535,0.0,40.0
10800,31.83266644046157,0.0,40.0
10900,12.283062186793666,0.0,40.0
11000,32.65647308875164,0.0,40.0
11100,28.037845686520665,0.0,40.0
11200,30.75563511705909,0.0,40.0
11300,24.852713557362396,0.0,40.0
11400,25.794697436478355,0.0,40.0
11500,33.672094563328606,0.0,40.0
11600,24.075802271839184,0.0,40.0
11700,27.734036263714106,0.0,40.0
11800,21.64,0.0,40.0
11900,33.93620735757315,0.0,40.0
12000,32.887954204033086,0.0,40.0
12100,25.746396831765562,0.0,40.0
12200,25.222599841302667,0.0,40.0
12300,33.23316851160534,0.0,40.0
12400,17.586666666666666,0.0,40.0
12500,28.40544497817149,0.0,40.0
12600,22.438540981690654,0.0,40.0
12700,24.157130406394867,0.0,40.0
12800,31.35985227849484,0.0,40.0
12900,30.637313543492937,0.0,40.0
13000,33.448090818601166,0.0,40.0
13100,28.37333333333333,0.0,40.0
13200,21.560460875301455,0.0,40.0
13300,33.573645235050066,0.0,40.0
13400,33.393001893183225,0.0,40.0
13500,20.936894626759063,0.0,40.0
13600,31.612316884722002,0.0,40.0
13700,33.710660502376626,0.0,40.0
13800,33.115701011005434,0.0,40.0
13900,33.07969805930831,0.0,40.0
14000,30.995757127297257,0.0,40.0
14100,33.417173983008695,0.0,40.0
14200,20.631943932982725,0.0,40.0
14300,25.973871358283315,0.0,40.0
14400,27.46249851662236,0.0,40.0
14500,33.49782188892244,0.0,40.0
14600,33.34504745359779,0.0,40.0
14700,30.829240338633866,0.0,40.0
14800,33.76575535609797,0.0,40.0
14900,30.492702839650644,0.0,40.0
15000,33.610997469605365,0.0,40.0
15100,33.19823082044639,0.0,40.0
15200,33.604851763568966,0.0,40.0
15300,33.630565138720684,0.0,40.0
15400,33.23016675947071,0.0,40.0
15500,33.33248039697007,0.0,40.0
15600,24.94466408960575,0.0,40.0
15700,29.977504393888207,0.0,40.0
15800,33.35484030193647,0.0,40.0
15900,33.29313982565532,0.0,40.0
16000,28.455200174501666,0.0,40.0
16100,30.09252512669522,0.0,40.0
16200,33.21163704257578,0.0,40.0
16300,32.7340968890913,0.0,40.0
16400,33.315868344715284,0.0,40.0
16500,33.5164968254375,0.0,40.0
16600,33.39467171518709,0.0,40.0
16700,33.67285678966609,0.0,40.0
16800,33.303017969619304,0.0,40.0
16900,33.12498250194709,0.0,40.0
17000,29.798564222360643,0.0,40.0
17100,33.337483684883956,0.0,40.0
17200,32.47473779219242,0.0,40.0
17300,30.075993624509806,0.0,40.0
17400,33.31500016805616,0.0,40.0
17500,33.386159464909696,0.0,40.0
17600,31.8789380042458,0.0,40.0
17700,33.31756066381534,0.0,40.0
17800,33.45437539958167,0.0,40.0
17900,33.745312984453896,0.0,40.0
18000,33.57394822467121,0.0,40.0
18100,33.08482170315061,0.0,40.0
18200,33.3288221590432,0.0,40.0
18300,33.38796642815633,0.0,40.0
18400,33.282875474371465,0.0,40.0
18500,33.93303446988427,0.0,40.0
18600,33.26874706348348,0.0,40.0
18700,28.3691648877445,0.0,40.0
18800,33.51206409842314,0.0,40.0
18900,33.36067896556988,0.0,40.0
19000,33.15571133305921,0.0,40.0
19100,33.43600413960671,0.0,40.0
19200,33.52893174855599,0.0,40.0
19300,33.483021845320174,0.0,40.0
19400,25.648726847860896,0.0,40.0
19500,30.834586359697855,0.0,40.0
19600,30.03422248698313,0.0,40.0
19700,32.50214586494237,0.0,40.0
19800,33.42224006206434,0.0,40.0
19900,33.39010746292857,0.0,40.0
20000,33.49108077063087,0.0,40.0
20100,33.4903725690682,0.0,40.0
20200,33.33678686632186,0.0,40.0
20300,33.24400077327118,0.0,40.0
20400,31.04254029641967,0.0,40.0
20500,33.41492684566253,0.0,40.0
20600,33.23839206574646,0.0,40.0
20700,33.373015362461246,0.0,40.0
20800,33.41459656812338,0.0,40.0
20900,30.790697387462405,0.0,40.0
21000,33.119053518015605,0.0,40.0
21100,33.33666808940252,0.0,40.0
21200,29.872305784346832,0.0,40.0
21300,33.46470207383259,0.0,40.0
21400,33.365281314083994,0.0,40.0
21500,33.273002456473215,0.0,40.0
